"Weight rule is missing","Chybí váhové pravidlo"
"Pricing rule not found","Cenové pravidlo nebylo nalezeno"
"Add pricing rule","Přidat cenové pravidlo"
"Price rule for specified country already exists","Cenové pravidlo pro tuto zemi a přepravní metodu již existuje"
"Saved","Uloženo"
"Pricing rule","Cenové pravidlo"
"Pricing rule detail","Detail cenového pravidla"
"Pricing rules","Cenová pravidla"
"A total of %1 record(s) have been deleted.","Celkem %1 záznamů bylo smazáno."
"Detail","Detail"
"Price","Cena"
"Free shipment threshold","Minimální hodnota objednávky pro dopravu zdarma"
"Country","Země"
"General","Obecné"
"Any country?","Pro ostatní země?"
"Apply pricing settings to any destination country","Pravidlo se bude vztahovat k zemím, které nemají cenové pravidlo"
"Packeta","Zásilkovna"
"Export","Export"
"Order number","Číslo objednávky"
"Full name","Jméno a příjmení"
"Recipient company","Společnost příjemce"
"Recipient Email","Email příjemce"
"Recipient phone number","Telefon příjemce"
"Recipient address","Adresa příjemce"
"Cash on delivery","Dobírka"
"Currency","Měna"
"Total price","Celková cena"
"Pickup point address","Adresa odběr. místa"
"Exported","Exportováno"
"Export date","Datum exportu"
"CSV - only not exported","CSV - Pouze neexportované"
"CSV - selected only","CSV - Vybrané záznamy"
"CSV - all records","CSV - Všechny záznamy"
"Order status","Stav objednávky"
"Yes","Ano"
"No","Ne"
"Orders","Objednávky"
"Add","Přidat"
"Weight to (includes)","Hmotnost do (včetně)"
"Price","Cena"
"Add rule","Přidat pravidlo"
"No orders to export.","Žádné objednávky k exportu."
"Error! No export data found.","Chyba! Nenalezena žádná data pro export."
"Orders","Objednávky"
"There was an error during request.","Při požadavku došlo k chybě."
"API key","API klíč"
"Price rules","Cenová pravidla"
"Global settings","Globální nastavení"
"Default price","Výchozí cena"
"Max. weight","Maximální váha"
"Free shipping","Doprava zdarma"
"Payment methods","Platební metody"
"The payment methods selected above will be considered as cash on delivery (for Packeta).","Platební metody vybrané výše budou považovány za platební metody na dobírku (pro Zásilkovnu)."
"Some prices are not filled","Některé ceny nejsou vyplněné"
"The weight is invalid","Zadejte validní váhu. Váha se nesmí opakovat a nesmí být větší než maximální možná (%1)."
"The API key length must have %d characters!","Délka API klíče musí být %d znaků!"
"Select pick-up point","Vybrat výdejní místo"
"You must select pick-up point","Musíte zvolit výdejní místo"
"Method Name","Název metody"
"Purchase Date","Datum objednávky"
"Title","Název"
"Sort Order","Řazení"
"Version","Verze"
"Action","Akce"
"Actions","Akce"
"Search","Hledat"
"Reset Filter","Zrušit filtr"
"records found","záznamů nalezeno"
"per page", "na stránku"
"Export to:","Exportovat:"
"Any","Žádný"
"selected","vybráno"
"Submit","Odeslat"
"Select All","Vybrat vše"
"Unselect All","Odznačit vše"
"Select Visible", "Označit stránku"
"Unselect Visible", "Odznačit stránku"
"Mass Actions","Hromadné akce"
"of %1","z %1"
"From","Od"
"To","Do"
"Delivery Method","Metoda doručení"
"Pickup Point Delivery","Doručení na výdejní místo"
"Best Address Delivery","Doručení na adresu"
"Address Delivery","Doručení na adresu"
"Methods are only available in predefined countries","Každá z metod je dostupná pouze pro vybrané země"
"Allowed Methods","Povolené metody"
"Enabled","Povoleno"
"Disabled","Nepovoleno"
"Pricing rule status","Stav pravidla"
"Select option","Zvolte možnost"
"Choose Pickup Point","Vybrat výdejní místo"
"Edit","Editovat"
"Available Countries","Dostupné země"
"Available","Dostupná"
"Unavailable","Nedostupná"
"Country Code","Kód země"
"Use carrier?","Použít přepravce?"
"Carrier name","Název přepravce"
"Packeta Carriers","Přepravci Zásilkovny"
"Weight","Váha"
"Address validation","Validace adresy"
"Required address validation","Povinné ověření adresy"
"Optional address validation","Nepovinné ověření adresy"
"None address validation","Nepoužívat ověření adresy"
"Check delivery address","Ověřit adresu doručení"
"Change delivery address","Změnit adresu doručení"
"Please select address via Packeta widget","Prosím, ověřte adresu doručení"
"Please select address from specified country","Zvolte addressu ve zvolené zemi"
"Address validation is out of order","Validace adres je mimo provoz"
"Pricing rule was not found. Please choose delivery method.","Nebylo nalezeno pravidlo pro tvorbu cen. Zvolte prosím způsob doručení."
"Please select pickup point","Zvolte prosím výdejní místo"
"Address was not validated","Adresa pro doručení nebyla ověřena"
"Validated address","Zvalidovaná adresa"
"Order has following validated address:","U objednávky byla ověřena adresa doručení:"
"Validated shipping address","Validní adresa doručení"
"Shipping address validation","Změna (ověření) adresy doručení"
"Pickup point selection","Výběr výdejního místa"
"GPS coordinates","GPS souřadnice"
"Street","Ulice"
"House number","Číslo popisné"
"City","Město"
"County","Region"
"Zip","PSČ"
"Longitude","Zeměpisná délka"
"Latitude","Zeměpisná šířka"
"Is address validated?","Je adresa validní?"
"Order detail","Detail objednávky"
"Selected payment method is not allowed because the grand total exceeds the max COD (%1) set up for this carrier.","Zvolená platební metoda není povolena, protože překračuje maximální povolenou hodnotu dobírky (%1) nastavenou pro tohoto dopravce."
"Max COD","Maximální výše dobírky"
